Name of Organization,EIN,Classification,Nonprofit Tax Code Designation: 501(c)(3),FISCAL YEAR,Total Revenue,Total Functional Expenses,Net Income
SCRANTON PRIMARY HEALTH CARE CENTER INC,23-2024511,"Ambulatory Health Center, Community Clinic (Health — General and Rehabilitative)",Yes,2020.0,6528110.0,6220053.0,308057.0
CGFNS INTERNATIONAL INC,23-2026352,Health Support Services (Health — General and Rehabilitative),Yes,2020.0,14894589.0,18606099.0,
BERKS COUNSELING CENTER INC,23-2043478,"Alcohol, Drug Abuse, Treatment Only (Mental Health, Crisis Intervention)",Yes,2020.0,9693307.0,8223937.0,1469370.0
SUNSHINE FOUNDATION,23-2044056,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2021.0,702933.0,800869.0,
ALDIE FOUNDATION,23-2044355,"Alcohol, Drug Abuse, Treatment Only (Mental Health, Crisis Intervention)",Yes,2021.0,6089934.0,4999638.0,1090296.0
NORRIS SQUARE NEIGHBORHOOD PROJECT,23-2045157,"Community, Neighborhood Development, Improvement (General) (Community Improvement, Capacity Building)",Yes,2020.0,643870.0,398326.0,245544.0
LEVITTOWN-FAIRLESS HILLS RESCUE SQUAD INC,23-2045752,"Ambulance, Emergency Medical Transport Services (Health — General and Rehabilitative)",Yes,2020.0,3104315.0,2871043.0,233272.0
CONGRESO DE LATINOS UNIDOS INC,23-2051143,"Health Treatment Facilities, Primarily Outpatient (Health — General and Rehabilitative)",Yes,2020.0,17388891.0,16813809.0,575082.0
INTERNATIONAL SERVICE CENTER,23-2052374,"Counseling, Support Groups (Mental Health, Crisis Intervention)",Yes,2020.0,647005.0,597316.0,49689.0
GOOD FRIENDS INC C O GEORGE KAELIN,23-2055761,"Alcohol, Drug Abuse, Treatment Only (Mental Health, Crisis Intervention)",Yes,2020.0,886158.0,978426.0,
CHILDRENS CRISIS TREATMENT CENTER INC,23-2065617,"Mental Health Treatment - Multipurpose and N.E.C. (Mental Health, Crisis Intervention)",Yes,2020.0,25493759.0,25645742.0,
BARCLAY FRIENDS,23-2088476,"Nursing, Convalescent Facilities (Health — General and Rehabilitative)",Yes,2020.0,13314063.0,14717563.0,
PATHWAY TO RECOVERY COUNSELING AND EDUCATIONAL SERVICES,23-2093054,"Alcohol, Drug and Substance Abuse, Dependency Prevention and Treatment (Mental Health, Crisis Intervention)",Yes,2021.0,1237828.0,1183548.0,54280.0
HOLCOMB ASSOCIATES INC,23-2093566,"Mental Health Treatment - Multipurpose and N.E.C. (Mental Health, Crisis Intervention)",Yes,2020.0,32136398.0,33036668.0,
HALFWAY ENVIRONMENT FOR ALCOHOLICS RECOVERING INC,23-2095529,"Alcohol, Drug Abuse, Treatment Only (Mental Health, Crisis Intervention)",Yes,2021.0,4434038.0,4205677.0,228361.0
THE VISITING NURSE ASSOCIATION OF GREATER PHILADELPHIA,23-2103781,Home Health Care (Health — General and Rehabilitative),Yes,2020.0,31959327.0,30926160.0,1033167.0
KELLY ANNE DOLAN MEMORIAL FUND,23-2108560,"Patient Services - Entertainment, Recreation (Health — General and Rehabilitative)",Yes,2020.0,580822.0,742893.0,
NEW HOLLAND AMBULANCE ASSOC,23-2109738,"Ambulance, Emergency Medical Transport Services (Health — General and Rehabilitative)",Yes,2021.0,1577959.0,1175175.0,402784.0
HARWOOD HOUSE,23-2124666,"Alcohol, Drug Abuse, Treatment Only (Mental Health, Crisis Intervention)",Yes,2020.0,1212822.0,1277541.0,
ABUSE AND RAPE CRISIS CENTER,23-2131649,"Rape Victim Services (Mental Health, Crisis Intervention)",Yes,2021.0,934895.0,916197.0,18698.0
UNITED WAY OF CHESTER COUNTY,23-2131877,"Fund Raising Organizations That Cross Categories (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2021.0,3438034.0,3227919.0,210115.0
H A C E,23-2142317,"Community, Neighborhood Development, Improvement (General) (Community Improvement, Capacity Building)",Yes,2020.0,3388318.0,2723005.0,665313.0
NEW DIRECTIONS TREATMENT SERVICES,23-2143569,"Alcohol, Drug Abuse, Treatment Only (Mental Health, Crisis Intervention)",Yes,2021.0,7254963.0,6222093.0,1032870.0
JAKE GITTLEN MEMORIAL GOLF TOURNAMENT,23-2149559,"Single Organization Support (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,2170457.0,1592400.0,578057.0
THE HEALTH CARE IMPROVEMENT FOUNDATION INC,23-2152039,"Ambulatory Health Center, Community Clinic (Health — General and Rehabilitative)",Yes,2021.0,2108042.0,2219037.0,
BENSALEM RESCUE SQUAD INC,23-2154857,"Ambulance, Emergency Medical Transport Services (Health — General and Rehabilitative)",Yes,2020.0,4500596.0,3922647.0,577949.0
RONALD MCDONALD HOUSE OF DANVILLE INC,23-2155803,"Cancer (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,834859.0,711832.0,123027.0
CO-MANS INC,23-2164760,"Group Home, Residential Treatment Facility - Mental Health Related (Mental Health, Crisis Intervention)",Yes,2021.0,1006053.0,1043297.0,
GEISINGER SYSTEM SERVICES,23-2164794,Community Health Systems (Health — General and Rehabilitative),Yes,2020.0,325904279.0,332590609.0,
ACOUSTIC NEUROMA ASSOCIATION,23-2170836,Rehabilitative Medical Services (E56Z) (Health — General and Rehabilitative),Yes,2020.0,624228.0,527054.0,97174.0
MARWORTH,23-2171417,"Alcohol, Drug Abuse, Treatment Only (Mental Health, Crisis Intervention)",Yes,2020.0,5526248.0,5918873.0,
MERAKEY PHILADELPHIA,23-2175923,"Community Mental Health Center (Mental Health, Crisis Intervention)",Yes,2020.0,27739657.0,28751560.0,
MERAKEY USA,23-2175924,Community Health Systems (Health — General and Rehabilitative),Yes,2020.0,57778444.0,60761820.0,
LANKENAU MEDICAL CENTER FOUNDATION,23-2176723,Single Organization Support (Health — General and Rehabilitative),Yes,2020.0,17885122.0,15679717.0,2205405.0
SOUTHERN BERKS REGIONAL EMERGENCY MEDICAL SERVICES,23-2176868,Health Support Services (E63Z) (Health — General and Rehabilitative),Yes,2020.0,3865675.0,3504301.0,361374.0
CIRCLE LODGE,23-2177753,"Group Home, Residential Treatment Facility - Mental Health Related (Mental Health, Crisis Intervention)",Yes,2020.0,934589.0,1016219.0,
BRYN MAWR HOSPITAL FOUNDATION,23-2179020,Single Organization Support (Health — General and Rehabilitative),Yes,2020.0,6741791.0,7517336.0,
LIFESTAR,23-2179542,"Ambulance, Emergency Medical Transport Services (Health — General and Rehabilitative)",Yes,2020.0,7723404.0,12413983.0,
WAYNE MEMORIAL COMMUNITY HEALTH CENTERS,23-2180889,"Ambulatory Health Center, Community Clinic (Health — General and Rehabilitative)",Yes,2020.0,38261379.0,39313318.0,
ABINGTON MEMORIAL HOSPITAL FOUNDATION,23-2188052,Single Organization Support (Health — General and Rehabilitative),Yes,2020.0,30835938.0,6847296.0,23988642.0
GEISINGER-BLOOMSBURG HOSPITAL,23-2193572,Hospitals and Related Primary Medical Care Facilities (Health — General and Rehabilitative),Yes,2020.0,29407054.0,29882839.0,
WEST GROVE FIRE COMPANY,23-2199988,"Ambulance, Emergency Medical Transport Services (Health — General and Rehabilitative)",Yes,2020.0,2416531.0,1949495.0,467036.0
ALPHA PREGNANCY SERVICES INC,23-2200071,Reproductive Health Care Facilities and Allied Services (Health — General and Rehabilitative),Yes,2020.0,524701.0,611143.0,
MATERNITY CARE COALITION,23-2200410,Reproductive Health Care Facilities and Allied Services (E46Z) (Health — General and Rehabilitative),Yes,2020.0,12305759.0,11429974.0,875785.0
TOWER HEALTH,23-2201344,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,534049241.0,742766413.0,
WAYNE MEMORIAL HOSPITAL FOUNDATION INC,23-2208596,Fund Raising and/or Fund Distribution (Health — General and Rehabilitative),Yes,2020.0,779826.0,365833.0,413993.0
NATIONAL DISEASE RESEARCH INTERCHANGE,23-2213205,Medical Research N.E.C.,Yes,2020.0,6460315.0,7265227.0,
UNITED JEWISH FEDERATION OF PRINCETON MERCER BUCKS INC,23-2215070,"Fund Raising Organizations That Cross Categories (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,966199.0,950671.0,15528.0
MIRMONT ALCOHOL REHABILITATION CENTER,23-2215243,"Alcohol, Drug Abuse, Treatment Only (Mental Health, Crisis Intervention)",Yes,2020.0,20826912.0,23334932.0,
GOOD SHEPHERD REHABILITATION NETWORK,23-2216041,Fund Raising and/or Fund Distribution (Health — General and Rehabilitative),Yes,2020.0,72367130.0,61102984.0,11264146.0
PRINCESS GRACE FOUNDATION,23-2218331,"Named Trusts/Foundations N.E.C. (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1034919.0,959924.0,74995.0
SPRING GROVE AREA AMBULANCE CLUB INCORPORATED,23-2220596,"Ambulance, Emergency Medical Transport Services (Health — General and Rehabilitative)",Yes,2020.0,979258.0,1144507.0,
WAYNE MEMORIAL HEALTH SYSTEM INC,23-2221292,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,2015672.0,1966636.0,49036.0
CEREBRAL PALSY ASSOCIATION OF CHESTER COUNTY INC,23-2233854,"Birth Defects and Genetic Diseases (G23Z) (Diseases, Disorders, Medical Disciplines)",Yes,2021.0,1408504.0,1477519.0,
THE CHILDRENS HOSPITAL OF PHILADELPHIA FOUNDATION,23-2237932,Single Organization Support (Health — General and Rehabilitative),Yes,2020.0,189062346.0,206015422.0,
LANCASTER GENERAL HEALTH,23-2250941,Fund Raising and/or Fund Distribution (Health — General and Rehabilitative),Yes,2020.0,71627378.0,,-25564496.0
SOUTHERN CHESTER COUNTY EMERGENCY MEDICAL SERVICES INC,23-2256114,"Fund Raising and/or Fund Distribution (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,1856398.0,1795964.0,60434.0
JOHN HEINZ INSTITUTE OF REHABILITATION MEDICINE,23-2262852,Rehabilitative Medical Services (Health — General and Rehabilitative),Yes,2020.0,25402821.0,28175981.0,
CHESTER COUNTY HOSPITAL FOUNDATION,23-2267407,Single Organization Support (Health — General and Rehabilitative),Yes,2020.0,8115080.0,8199933.0,
ST CHRISTOPHERS FOUNDATION FOR CHILDREN,23-2274198,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2021.0,943096.0,1103116.0,
MOSES TAYLOR FOUNDATION INC,23-2281586,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,4987445.0,4184446.0,
ALBERT EINSTEIN HEALTHCARE NETWORK,23-2290323,Fund Raising and/or Fund Distribution (Health — General and Rehabilitative),Yes,2020.0,94080349.0,100928831.0,
HORIZON HOUSE REHABILITATION SERV INC,23-2298169,"Alcohol, Drug Abuse, Treatment Only (Mental Health, Crisis Intervention)",Yes,2020.0,45685757.0,46371933.0,
PAROCHIAL MEDICAL CENTER,23-2300834,"Ambulatory Health Center, Community Clinic (Health — General and Rehabilitative)",Yes,2020.0,2365373.0,2452479.0,
PHOEBE HOME INC,23-2302675,"Nursing, Convalescent Facilities (Health — General and Rehabilitative)",Yes,2020.0,37033122.0,39548454.0,
MERAKEY MONTGOMERY COUNTY,23-2304620,Group Health Practice (Health Maintenance Organizations) (Health — General and Rehabilitative),Yes,2020.0,13597159.0,14194401.0,
MAIN LINE HEALTH HOMECARE & HOSPICE,23-2308028,"Homemaker, Home Health Aide (Human Services — Multipurpose and Other)",Yes,2020.0,66240041.0,65428798.0,811243.0
MAIN LINE AFFILIATES,23-2308668,Rehabilitative Medical Services (Health — General and Rehabilitative),Yes,2020.0,924984.0,1147107.0,
GERMANTOWN HOME,23-2310085,"Nursing, Convalescent Facilities (Health — General and Rehabilitative)",Yes,2020.0,20436338.0,24635587.0,
THE CHILDRENS HOSPITAL OF PHILADELPHIA PRACTICE ASSOCIATION,23-2311482,"Community Mental Health Center (Mental Health, Crisis Intervention)",Yes,2020.0,10843186.0,28594964.0,
WOODS SERVICES FOUNDATION,23-2322137,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2374991.0,211585.0,2163406.0
MERCY HOME HEALTH SERVICES,23-2325058,Community Health Systems (Health — General and Rehabilitative),Yes,2020.0,13139851.0,13774803.0,
MAIN LINE HEALTH INC EXTERNAL REPORTING,23-2331531,Community Health Systems (Health — General and Rehabilitative),Yes,2020.0,8537974.0,7971968.0,566006.0
REINVESTMENT FUND INC,23-2331946,"Community, Neighborhood Development, Improvement (General) (Community Improvement, Capacity Building)",Yes,2020.0,76263402.0,39904589.0,36358813.0
PENNSYLVANIA TRAUMA SYSTEMS FOUNDATION,23-2342061,Health Support Services (E63D) (Health — General and Rehabilitative),Yes,2020.0,1967844.0,1818187.0,149657.0
POTTSTOWN AREA HEALTH & WELLNESS FOUNDATION,23-2344729,Fund Raising and/or Fund Distribution (Health — General and Rehabilitative),Yes,2020.0,4229503.0,4963669.0,
P G H DEVELOPMENT CORPORATION,23-2351015,Single Organization Support (Health — General and Rehabilitative),Yes,2020.0,763912.0,1270276.0,
THE COMMUNITYS FOUNDATION,23-2354770,"Community Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2116524.0,1107729.0,1008795.0
GOOD SAMARITAN HEALTH SERVICES FOUNDATION OF LEBANON PA,23-2356151,Nonmonetary Support N.E.C. (Health — General and Rehabilitative),Yes,2020.0,1364049.0,1222226.0,141823.0
MAIN LINE HEALTHCARE,23-2359401,"Health Treatment Facilities, Primarily Outpatient (Health — General and Rehabilitative)",Yes,2020.0,310535023.0,311298770.0,
PAOLI MEMORIAL HOSPITAL FOUNDATION,23-2359407,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,3185862.0,1649332.0,1536530.0
AMERICAN COLLEGE OF PROSTHODONTISTS EDUCATION FOUNDATION,23-2363597,"Medical Disciplines (G9XC) (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,678663.0,699313.0,
CHANDLER HALL HEALTH SERVICES INC,23-2365124,Community Health Systems (Health — General and Rehabilitative),Yes,2020.0,17505940.0,19958977.0,
DOYLESTOWN HEALTH FOUNDATION,23-2368196,Fund Raising and/or Fund Distribution (Health — General and Rehabilitative),Yes,2020.0,10269180.0,13531616.0,
VIA AFFILIATES,23-2368197,Single Organization Support (Health — General and Rehabilitative),Yes,2020.0,52540610.0,69313552.0,
FRIENDS LIFE CARE,23-2378625,"Homemaker, Home Health Aide (Human Services — Multipurpose and Other)",Yes,2020.0,12800371.0,11725610.0,1074761.0
UNITY HOUSE OF TROY INCORPORATED,23-2378930,"Mental Health Treatment - Multipurpose and N.E.C. (Mental Health, Crisis Intervention)",Yes,2020.0,25365810.0,24901820.0,463990.0
CARBON MONROE PIKE DRUG AND ALCOHOL COMMISSION INC,23-2389101,"Alcohol, Drug and Substance Abuse, Dependency Prevention and Treatment (Mental Health, Crisis Intervention)",Yes,2020.0,3712445.0,3568132.0,144313.0
NORTHAMPTON REGIONAL EMERGENCY MEDICAL SERVICES,23-2390018,"Ambulance, Emergency Medical Transport Services (Health — General and Rehabilitative)",Yes,2020.0,1677358.0,1875654.0,
WELLSPAN HEALTH CARE SERVICES,23-2400237,Community Health Systems (Health — General and Rehabilitative),Yes,2020.0,14443369.0,13591338.0,852031.0
KENNETT SQUARE REVITALIZATION TASK FORCE INC,23-2408629,"Community, Neighborhood Development, Improvement (General) (Community Improvement, Capacity Building)",Yes,2020.0,664428.0,605324.0,59104.0
WILLIAMSPORT AREA AMBULANCE SERVICE COOPERATIVE,23-2416166,Blood Supply Related (Health — General and Rehabilitative),Yes,2020.0,6051664.0,6277704.0,
NORTHEASTERN PENNSYLVANIA HEALTH CORPORATION,23-2421970,"Hospital, General (Health — General and Rehabilitative)",Yes,2020.0,131280244.0,121749250.0,9530994.0
SCHUYLKILL REHABILITATION CENTER INC,23-2440891,Rehabilitative Medical Services (Health — General and Rehabilitative),Yes,2020.0,1848779.0,1845778.0,3001.0
TWO RIVERS HEALTH & WELLNESS FOUNDATION,23-2440924,Public Health Program (Includes General Health and Wellness Promotion Services) (Health — General and Rehabilitative),Yes,2021.0,1500609.0,1283201.0,
ACTION WELLNESS,23-2446355,"AIDS (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,16079138.0,16728213.0,
BUCKS COUNTY DRUG AND ALCOHOL COMMISSION INC,23-2449485,"Alcohol, Drug and Substance Abuse, Dependency Prevention and Treatment (Mental Health, Crisis Intervention)",Yes,2021.0,8254676.0,8110964.0,143712.0
PLANNED PARENTHOOD KEYSTONE,23-2450112,Family Planning Centers (Health — General and Rehabilitative),Yes,2020.0,10457159.0,10629460.0,
COMMUNITY VENTURES INC,23-2462126,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,4232251.0,1266200.0,2966051.0
WEST SHORE ADVANCED LIFE SUPPORT SERVICES INC,23-2463002,Health Support Services (E63Z) (Health — General and Rehabilitative),Yes,2020.0,8075323.0,11097424.0,
EAST PENNSBORO AMBULANCE SERVICE INC,23-2464545,"Ambulance, Emergency Medical Transport Services (Health — General and Rehabilitative)",Yes,2020.0,1239683.0,1099355.0,140328.0
BETHANY HOME INC,23-2467038,"Group Home, Residential Treatment Facility - Mental Health Related (Mental Health, Crisis Intervention)",Yes,2020.0,12737144.0,13871864.0,
COMMONWEALTH FOUNDATION FOR PUBLIC POLICY ALTERNATIVES,23-2473845,"Research Institutes and/or Public Policy Analysis (Public, Society Benefit — Multipurpose and Other)",Yes,2020.0,5578694.0,5451336.0,127358.0
SOCIETY FOR IMAGING INFORMATICS IN MEDICINE-SIIM,23-2480304,"Medical Disciplines (G9AZ) (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,1261018.0,1910762.0,
ESPERANZA HEALTH CENTER INC,23-2480701,"Ambulatory Health Center, Community Clinic (Health — General and Rehabilitative)",Yes,2020.0,19712708.0,17635721.0,2076987.0
ALDER HEALTH SERVICES INC,23-2485020,"AIDS (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,2763547.0,2906207.0,
VICTIMS INTERVENTION PROGRAM INC,23-2485867,"Rape Victim Services (Mental Health, Crisis Intervention)",Yes,2020.0,1260384.0,1210963.0,49421.0
SANATOGA RIDGE COMMUNITY INC,23-2506257,"Community, Neighborhood Development, Improvement (General) (Community Improvement, Capacity Building)",Yes,2020.0,2992976.0,3796919.0,
BRYN MAWR REHABILITATION FOUNDATION,23-2507348,Fund Raising and/or Fund Distribution (Health — General and Rehabilitative),Yes,2020.0,1366909.0,1569191.0,
POCONO HEALTH FOUNDATION,23-2516451,"Hospital, General (Health — General and Rehabilitative)",Yes,2021.0,927476.0,520193.0,407283.0
PHILANTHROPY NETWORK GREATER PHILADELPHIA,23-2518417,"Philanthropy, Charity, Voluntarism Promotion, General (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2075667.0,1973768.0,101899.0
ALLIED SERVICES INSTITUTE OF REHABILITATION MEDICINE,23-2523395,"Hospital, Specialty (Health — General and Rehabilitative)",Yes,2020.0,33749568.0,32616533.0,1133035.0
ALLIED SERVICES FOUNDATION,23-2523682,Fund Raising and/or Fund Distribution (Health — General and Rehabilitative),Yes,2020.0,3220974.0,1746752.0,1474222.0
ALLIED SERVICES SKILLED NURSING CENTER,23-2523688,"Nursing, Convalescent Facilities (Health — General and Rehabilitative)",Yes,2020.0,38935161.0,38548129.0,387032.0
PENNSYLVANIA DOWNTOWN CENTER INC,23-2531296,"Community, Neighborhood Development, Improvement (General) (S25I) (Community Improvement, Capacity Building)",Yes,2020.0,659648.0,650685.0,8963.0
SOCIETY OF GENERAL INTERNAL MEDICINE,23-2532466,"Professional Societies, Associations (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,2923573.0,3568874.0,
MUTUAL AID SHARING PLAN,23-2534913,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2996392.0,3060820.0,
MARGARET E MOUL FOUNDATION,23-2546808,"Named Trusts/Foundations N.E.C. (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,543702.0,234207.0,309495.0
THE MARTIN AND FLORENCE D HAFTER FAMILY FOUNDATION,23-2548688,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,754809.0,286359.0,
